Religious_Place,Country,Date,visitor_count,crowd_level,Public_Holiday,Past Crowd Levels
Mount Athos Monasteries,Greece,2022-07-06,704,High,No,3366
Monastery of Hosios Loukas,Greece,2035-02-19,1225,Low,No,1252
Church of Panagia Paraportiani,Greece,2038-12-23,4213,Low,No,1343
Lalibela Rock-Hewn Churches,Ethiopia,2025-05-24,4639,Low,Yes,3601
Church of St. George,Ethiopia,2045-03-08,1147,High,Yes,1392
Debre Berhan Selassie Church,Ethiopia,2022-08-28,1517,Medium,Yes,2631
Holy Trinity Cathedral,Ethiopia,2042-09-16,2518,Low,Yes,2079
Basilica of Our Lady of Peace,Ivory Coast,2032-10-18,1840,High,Yes,3982
Great Mosque of Djenné,Mali,2038-03-02,2312,High,Yes,3516
Mosque of Touba,Senegal,2034-07-26,3096,High,Yes,1297
Great Mosque of Kairouan,Tunisia,2026-01-21,3529,Medium,No,1049
Abu Simbel Temple,Egypt,2035-08-09,3717,High,No,2256
Mosque of Muhammad Ali,Egypt,2018-03-28,3090,High,No,3887
St. Catherine’s Monastery,Egypt,2024-04-27,4464,Medium,No,78
Al-Azhar Mosque,Egypt,2025-05-01,3814,Medium,No,3305
Jokhang Monastery,Tibet (China),2040-09-14,4745,Low,No,1724
Potala Palace,Tibet (China),2039-07-31,1724,Medium,No,3983
Ramoche Monastery,Tibet (China),2025-02-07,1263,Medium,No,2453
Drepung Monastery,Tibet (China),2034-06-07,513,Medium,No,2020
Tashilhunpo Monastery,Tibet (China),2020-10-26,718,High,No,1726
Shaolin Temple,China,2018-05-17,1956,Medium,No,404
Temple of Heaven,China,2037-01-30,1171,High,No,3516
White Horse Temple,China,2038-03-24,4250,Low,No,3208
Lingyin Temple,China,2025-10-25,1341,High,No,938
Todaiji Temple,Japan,2030-01-27,4922,High,No,1619
Fushimi Inari Taisha,Japan,2021-04-15,1963,High,No,2487
Kiyomizu-dera,Japan,2030-12-01,2142,Medium,Yes,749
Itsukushima Shrine,Japan,2044-04-14,4895,Medium,Yes,586
Shwedagon Pagoda,Myanmar,2036-06-03,4448,High,Yes,3655
Mahamuni Buddha Temple,Myanmar,2019-07-21,2161,Low,Yes,2663
Bagan Temples,Myanmar,2038-04-18,940,Low,Yes,340
Borobudur,Indonesia,2032-11-13,3380,High,Yes,952
Prambanan,Indonesia,2028-10-02,1617,Low,No,465
Tanah Lot,Indonesia,2034-12-02,2149,Medium,No,1428
Paro Taktsang (Tiger’s Nest),Bhutan,2039-03-11,1909,High,No,3014
Punakha Dzong,Bhutan,2033-10-24,2386,Medium,No,2149
St. Joseph’s Oratory,Canada,2036-05-12,1454,Medium,No,2095
Notre-Dame Basilica (Montreal),Canada,2036-04-05,4402,High,No,2305
Basilica of Sainte-Anne-de-Beaupré,Canada,2042-08-16,1221,Medium,No,1868
Cathedral of Saint John the Baptist,Canada,2040-11-12,4650,High,No,2085
St. Nicholas Church,Czech Republic,2024-05-19,3314,High,No,1322
St. Wenceslas Church,Czech Republic,2027-08-17,1118,Low,No,2156
Sedlec Ossuary,Czech Republic,2023-12-28,3758,Low,No,2205
Church of Our Lady before Týn,Czech Republic,2018-07-15,2638,High,No,692
St. Peter and Paul Cathedral,Germany,2038-04-11,4290,Medium,No,2255
Frauenkirche Dresden,Germany,2033-10-29,3030,Medium,No,967
Cologne Cathedral,Germany,2031-11-08,2233,High,No,3209
Bamberg Cathedral,Germany,2020-03-13,961,Low,Yes,1033
Basilica di San Marco,Italy,2040-05-23,3908,High,Yes,2160
Milan Cathedral (Duomo),Italy,2040-01-12,1479,Low,Yes,3414
Florence Cathedral (Duomo),Italy,2023-08-31,4266,High,Yes,32
St. Francis Basilica,Italy,2034-03-03,3313,High,Yes,3001
St. Michael’s Church,Austria,2042-02-27,3329,Medium,Yes,1836
Melk Abbey,Austria,2019-10-07,2871,High,Yes,3204
Salzburg Cathedral,Austria,2043-11-21,2290,High,Yes,3512
St. Stephen’s Cathedral,Austria,2031-12-22,3151,High,No,3342
Church of St. Nicholas,Slovakia,2032-12-13,745,Medium,No,3849
St. Martin’s Cathedral,Slovakia,2022-06-26,3923,Low,No,1637
Bratislava Cathedral,Slovakia,2018-05-01,4547,Medium,No,2724
Church of St. Elizabeth,Slovakia,2026-03-01,3567,Medium,No,3204
St. Olaf’s Church,Norway,2031-11-18,1128,High,Yes,103
Nidaros Cathedral,Norway,2026-06-02,1038,Medium,Yes,538
Borgund Stave Church,Norway,2042-08-31,1647,Medium,Yes,1358
St. Mary’s Church,Norway,2026-12-23,1710,Low,No,526
Hallgrímskirkja,Iceland,2023-11-06,4230,Low,No,3099
Akureyri Church,Iceland,2035-09-22,4067,Medium,No,2501
Reykjavík Cathedral,Iceland,2031-08-11,3886,Low,No,3503
Skálholt Cathedral,Iceland,2035-04-25,4065,Medium,No,1657
St. Giles Cathedral,Scotland,2018-05-15,2582,High,No,1623
Rosslyn Chapel,Scotland,2039-08-02,4455,Low,No,2297
St. Magnus Cathedral,Scotland,2032-07-30,967,High,Yes,2766
Dunblane Cathedral,Scotland,2044-08-16,4604,Medium,Yes,735
Christ Church Cathedral,Ireland,2044-12-22,1098,Low,Yes,192
St. Patrick’s Cathedral,Ireland,2025-01-03,4832,Low,Yes,1518
St. Colman’s Cathedral,Ireland,2018-03-04,2276,Low,Yes,3657
St. Canice’s Cathedral,Ireland,2021-09-20,2051,High,Yes,3200
St. Sava Cathedral,Serbia,2036-04-17,1607,High,No,1822
Studenica Monastery,Serbia,2034-04-11,3999,Low,No,3055
Gračanica Monastery,Kosovo,2024-10-03,704,High,No,3281
Monastery of Decani,Kosovo,2019-11-11,2993,Low,No,1300
Alexander Nevsky Cathedral,Bulgaria,2036-12-26,4025,High,No,617
Rila Monastery,Bulgaria,2020-01-12,3108,Medium,No,3334
Bachkovo Monastery,Bulgaria,2032-07-13,1939,Low,No,3916
Church of St. Sophia,Bulgaria,2041-12-23,2638,Medium,No,1966
Meteora Monasteries,Greece,2027-12-21,2414,High,No,3718
Mount Athos Monasteries,Greece,2019-03-21,4390,Medium,No,3362
Monastery of Hosios Loukas,Greece,2040-07-24,2085,Low,No,2119
Church of Panagia Paraportiani,Greece,2026-12-03,3120,Low,No,2365
Church of St. George,Ethiopia,2030-10-08,1581,Medium,No,2778
Lalibela Rock-Hewn Churches,Ethiopia,2023-02-17,2918,Medium,No,2953
Debre Berhan Selassie Church,Ethiopia,2035-10-16,4276,High,No,1921
Holy Trinity Cathedral,Ethiopia,2025-02-09,1626,Medium,Yes,2255
St. Mary of Zion,Ethiopia,2022-09-14,1978,Medium,Yes,743
Basilica of Our Lady of Peace,Ivory Coast,2025-12-22,2385,Low,Yes,1660
Great Mosque of Djenné,Mali,2025-10-14,959,High,Yes,310
Mosque of Touba,Senegal,2029-01-10,1596,Low,Yes,1819
Great Mosque of Kairouan,Tunisia,2033-01-10,2222,High,Yes,3804
Abu Simbel Temple,Egypt,2041-11-09,3353,Low,Yes,2471
Mosque of Muhammad Ali,Egypt,2030-04-13,1500,Low,No,1565
St. Catherine’s Monastery,Egypt,2024-12-31,2155,High,No,3376
Al-Azhar Mosque,Egypt,2019-05-05,4796,Medium,No,296
Jokhang Monastery,Tibet (China),2019-05-09,2882,Low,No,3412
Potala Palace,Tibet (China),2019-11-22,4504,Medium,No,765
Ramoche Monastery,Tibet (China),2028-06-18,4870,Medium,No,2276
Drepung Monastery,Tibet (China),2019-08-26,2063,High,No,2587
Tashilhunpo Monastery,Tibet (China),2023-03-27,1739,Medium,No,3111
Shaolin Temple,China,2020-10-11,3573,Medium,No,550
Temple of Heaven,China,2043-04-16,1218,Low,No,1345
White Horse Temple,China,2023-06-17,2703,High,No,3809
Lingyin Temple,China,2034-02-10,3581,Medium,No,2549
Todaiji Temple,Japan,2028-04-15,1499,Low,No,50
Fushimi Inari Taisha,Japan,2024-06-24,3943,High,No,1282
Kiyomizu-dera,Japan,2032-06-19,4898,Medium,No,2991
Itsukushima Shrine,Japan,2029-12-19,1540,Low,No,3986
Shwedagon Pagoda,Myanmar,2044-10-29,1342,Medium,Yes,1817
Mahamuni Buddha Temple,Myanmar,2037-08-01,4990,High,Yes,3863
Bagan Temples,Myanmar,2021-09-23,1625,Low,Yes,1593
Borobudur,Indonesia,2038-10-23,4360,Low,Yes,2140
Prambanan,Indonesia,2022-03-07,3354,Low,Yes,282
Tanah Lot,Indonesia,2021-08-20,2359,High,No,3746
Paro Taktsang (Tiger’s Nest),Bhutan,2034-12-29,1441,Low,No,2637
Punakha Dzong,Bhutan,2038-02-07,3814,Medium,No,1158
Tashichho Dzong,Bhutan,2022-04-01,4569,High,No,3641
St. George’s Cathedral,Malta,2035-07-06,1574,High,No,1041
St. John’s Co-Cathedral,Malta,2044-10-02,1491,Medium,No,3018
Rotunda of Mosta,Malta,2021-08-30,3576,Medium,No,1289
St. Paul’s Cathedral,Malta,2028-09-06,723,Low,No,2811
St. Nicholas Church,Czech Republic,2026-03-30,3913,High,No,150
St. Wenceslas Church,Czech Republic,2031-10-21,3830,High,No,724
Sedlec Ossuary,Czech Republic,2043-06-10,692,Low,No,2629
Church of Our Lady before Týn,Czech Republic,2024-02-29,2819,Medium,No,3375
Church of St. Peter,Switzerland,2042-05-10,4384,Low,No,495
Grossmünster,Switzerland,2031-10-19,2883,Low,Yes,2654
Fraumünster,Switzerland,2024-06-04,1541,High,Yes,3036
Saint Pierre Cathedral,Switzerland,2043-08-21,3820,Medium,Yes,3968
Golden Temple of Dambulla,Sri Lanka,2033-01-07,4709,High,Yes,3974
Temple of the Tooth (Sri Dalada Maligawa),Sri Lanka,2025-08-16,3715,Low,No,3378
Gangaramaya Temple,Sri Lanka,2033-08-04,1164,Low,No,1200
Kandy Buddhist Temple,Sri Lanka,2032-01-07,1876,Low,No,2349
Batu Caves Temple,Malaysia,2039-01-31,745,Medium,No,3618
Kek Lok Si Temple,Malaysia,2033-03-18,1025,Low,No,142
Thean Hou Temple,Malaysia,2033-05-01,2764,Medium,No,3452
Sri Mahamariamman Temple,Malaysia,2036-08-28,992,Medium,No,343
Sultan Omar Ali Saifuddin Mosque,Brunei,2018-05-31,1249,High,No,876
Jame’ Asr Hassanil Bolkiah Mosque,Brunei,2025-09-05,3291,Medium,No,2640
Sheikh Lotfollah Mosque,Iran,2034-05-28,3306,Medium,No,2014
Imam Mosque (Shah Mosque),Iran,2023-09-18,4371,Low,No,659
Imam Reza Shrine,Iran,2028-04-09,3106,Low,No,3040
Fatima Masumeh Shrine,Iran,2033-05-14,895,Medium,No,3660
Al-Kadhimiya Mosque,Iraq,2024-03-09,2332,High,No,2785
Imam Ali Mosque,Iraq,2028-12-31,2324,High,Yes,2534
Al-Askari Shrine,Iraq,2035-01-29,3805,Medium,Yes,2910
Great Mosque of Samarra,Iraq,2034-12-05,1393,Medium,Yes,1066
Sultan Qaboos Grand Mosque,Oman,2024-08-21,1652,High,Yes,2688
Holy Sepulchre Church,Jerusalem,2044-12-21,4999,Low,Yes,175
Church of Nativity,Bethlehem,2028-07-23,2060,High,Yes,1971
Basilica of the Annunciation,Nazareth,2020-05-09,2606,Low,Yes,3335
St. Catherine’s Monastery,"Sinai, Egypt",2032-09-11,4183,High,Yes,3192
Mount Sinai Monastery,Egypt,2039-03-13,4021,Low,Yes,408
Monastery of Saint Anthony,Egypt,2040-09-17,973,High,Yes,2025
Monastery of Saint Paul the Anchorite,Egypt,2038-06-13,1060,High,No,1770
St. George Orthodox Church,Lebanon,2041-08-30,4296,High,No,2535
Mohammad Al-Amin Mosque,Lebanon,2030-12-23,2601,Low,No,1867
Saint Joseph Cathedral,Lebanon,2041-09-30,1157,Low,No,1143
Our Lady of Lebanon,Lebanon,2030-03-21,1682,High,No,1515
Sheikh Zayed Grand Mosque,UAE,2033-02-19,1152,Low,No,3029
Jumeirah Mosque,UAE,2021-09-26,4409,Low,No,3352
Grand Mosque of Abu Dhabi,UAE,2022-11-15,1472,Low,No,2554
Al Noor Mosque,UAE,2034-05-24,1011,Low,No,2646
Faisal Mosque,Pakistan,2031-02-07,2506,High,No,2257
Badshahi Mosque,Pakistan,2035-09-11,3914,High,No,2312
Wazir Khan Mosque,Pakistan,2022-12-24,2859,High,No,3207
Data Darbar,Pakistan,2039-10-11,3736,High,No,2728
Jamia Masjid,Pakistan,2031-07-09,4496,Low,No,3037
Katas Raj Temples,Pakistan,2025-05-28,2577,Low,No,3226
Hinglaj Mata Temple,Pakistan,2032-06-21,2149,Low,Yes,1259
Shri Swaminarayan Mandir,Pakistan,2018-06-25,1881,High,Yes,2999
Baha’i House of Worship,Australia,2038-11-22,2980,Low,Yes,2228
St. Mary’s Cathedral,Australia,2023-09-25,3549,High,Yes,467
St. Patrick’s Cathedral,Australia,2041-06-28,4016,High,Yes,1866
St. John’s Cathedral,Australia,2027-07-24,4962,High,No,1245
Auckland Cathedral,New Zealand,2023-04-05,3492,Medium,No,1179
Wellington Cathedral,New Zealand,2018-03-24,4089,Medium,No,2752
ChristChurch Cathedral,New Zealand,2020-03-27,1704,Low,No,2655
St. Paul’s Cathedral,New Zealand,2042-04-17,4911,Low,No,332
Lumbini Temple,Nepal,2038-07-17,2875,Medium,No,927
Pashupatinath Temple,Nepal,2030-01-14,678,Medium,No,1387
Swayambhunath (Monkey Temple),Nepal,2036-11-26,1401,Medium,No,3269
Boudhanath Stupa,Nepal,2033-03-31,4585,Low,No,2878
Jokhang Monastery,Tibet (China),2018-10-11,4635,Low,No,1758
Potala Palace,Tibet (China),2029-04-13,1290,Low,No,3410
Ramoche Monastery,Tibet (China),2040-07-09,1501,Medium,No,3194
Drepung Monastery,Tibet (China),2019-09-02,2288,Medium,No,1145
Tashilhunpo Monastery,Tibet (China),2025-12-25,4212,Medium,No,1955
Mahabodhi Temple,India,2022-12-19,1521,Medium,No,1414
Bodh Gaya,India,2021-06-25,1723,High,No,927
Sanchi Stupa,India,2035-12-20,3953,Medium,No,3817
Ajanta Caves,India,2044-07-02,1776,Medium,Yes,3753
Ellora Caves,India,2026-03-14,1708,High,Yes,3621
Konark Sun Temple,India,2037-11-12,3374,Low,Yes,3045
Jagannath Temple,India,2036-09-22,4921,High,Yes,71
Rameswaram Temple,India,2039-11-03,1051,Medium,Yes,2581
Dwarkadhish Temple,India,2025-03-27,659,Medium,No,755
ISKCON Mayapur Temple,India,2036-04-23,2219,Medium,No,1347
Wat Phra That Doi Suthep,Thailand,2030-05-06,4423,Medium,No,3190
Wat Saket (Golden Mount),Thailand,2024-04-24,2552,Medium,No,359
Wat Benchamabophit,Thailand,2040-03-04,4930,Low,No,450
Wat Traimit (Temple of the Golden Buddha),Thailand,2035-06-29,1785,Medium,No,3832
Angkor Thom Temples,Cambodia,2029-06-27,3940,Low,No,3577
Ta Keo Temple,Cambodia,2033-03-25,4197,Low,No,3270
Preah Khan Temple,Cambodia,2031-04-03,788,Medium,No,2747
Banteay Srei Temple,Cambodia,2030-09-30,3100,Low,No,3080
Shwedagon Pagoda,Myanmar,2042-01-13,3444,High,No,3721
Mahamuni Buddha Temple,Myanmar,2029-05-31,4766,Medium,No,3362
Kuthodaw Pagoda,Myanmar,2028-07-16,914,High,No,2077
Htilominlo Temple,Myanmar,2045-03-11,3259,Low,No,1081
Borobudur,Indonesia,2042-10-11,4450,Medium,No,2210
Prambanan,Indonesia,2032-05-20,2807,High,No,1939
Tanah Lot,Indonesia,2042-09-28,1368,Medium,No,1166
Uluwatu Temple,Indonesia,2033-02-24,2690,High,Yes,230
Paro Taktsang (Tiger’s Nest),Bhutan,2024-08-11,2623,High,Yes,3167
Punakha Dzong,Bhutan,2027-09-25,1866,Low,Yes,1608
Tashichho Dzong,Bhutan,2030-11-05,1707,Low,Yes,2769
Gangteng Monastery,Bhutan,2030-04-26,4674,High,Yes,354
St. Joseph’s Cathedral,Philippines,2024-01-05,2768,High,Yes,2455
Manila Cathedral,Philippines,2031-10-25,4183,Medium,No,539
Quiapo Church,Philippines,2025-02-13,1392,Low,No,1278
San Agustin Church,Philippines,2022-02-27,3507,Low,No,3049
St. Michael’s Cathedral,Liechtenstein,2031-01-17,3720,Medium,No,684
Vaduz Cathedral,Liechtenstein,2029-10-24,1036,Medium,No,3455
Church of St. Peter,Luxembourg,2027-03-21,1561,High,No,1950
Notre-Dame Cathedral,Luxembourg,2034-12-12,1122,Low,No,1787
St. Nicholas Church,Monaco,2040-08-16,4012,Medium,No,2742
Saint Nicholas Cathedral,Monaco,2025-03-18,4620,Low,No,3883
St. John’s Co-Cathedral,Malta,2037-10-30,2785,Medium,No,1937
Rotunda of Mosta,Malta,2033-06-04,3324,High,No,1324
St. Paul’s Cathedral,Malta,2040-08-23,4210,Medium,No,2355
St. George’s Basilica,Malta,2042-04-14,4972,High,No,2832
St. John’s Church,Latvia,2024-08-31,1676,High,No,2458
Riga Cathedral,Latvia,2040-11-14,3463,Low,No,100
St. Peter’s Church,Latvia,2041-05-03,1510,Medium,No,567
Church of St. Mary,Latvia,2037-06-13,1791,Medium,Yes,1947
Vilnius Cathedral,Lithuania,2043-08-29,1053,Low,Yes,3848
Kaunas Cathedral,Lithuania,2030-05-18,3461,Medium,Yes,2568
St. Anne’s Church,Lithuania,2033-04-19,1237,High,Yes,2074
Church of St. Casimir,Lithuania,2027-09-16,807,Medium,Yes,1764
Hallgrímskirkja,Iceland,2034-08-30,2790,Low,No,3336
Akureyri Church,Iceland,2034-09-27,3669,Medium,No,1980
Skálholt Cathedral,Iceland,2042-04-30,636,Low,No,2217
Reykjavík Cathedral,Iceland,2033-02-22,1987,Low,No,2775
St. Olaf’s Church,Norway,2032-11-27,866,Medium,No,2496
Nidaros Cathedral,Norway,2019-06-02,2174,High,No,3203
Borgund Stave Church,Norway,2035-01-26,1648,High,No,3856
Heddal Stave Church,Norway,2039-07-27,4491,Low,No,22
St. Giles Cathedral,Scotland,2044-08-23,4760,Low,No,3809
Rosslyn Chapel,Scotland,2040-03-22,3439,Medium,No,2092
Dunblane Cathedral,Scotland,2021-11-16,880,Low,No,2214
St. Magnus Cathedral,Scotland,2030-10-09,4327,High,No,1165
Christ Church Cathedral,Ireland,2030-03-15,4168,Low,No,282
St. Patrick’s Cathedral,Ireland,2025-07-24,2409,Low,No,1621
St. Colman’s Cathedral,Ireland,2031-04-18,1416,High,No,2991
St. Canice’s Cathedral,Ireland,2018-05-08,4657,High,No,1140
Alexander Nevsky Cathedral,Bulgaria,2027-07-07,3996,Medium,Yes,3234
Rila Monastery,Bulgaria,2041-01-26,3739,Medium,Yes,3502
Bachkovo Monastery,Bulgaria,2029-10-20,1730,Medium,Yes,182
Church of St. Sophia,Bulgaria,2024-09-04,3979,Low,Yes,3569
Meteora Monasteries,Greece,2028-04-23,1977,High,No,654
Mount Athos Monasteries,Greece,2037-03-17,4709,Low,No,2512
Monastery of Hosios Loukas,Greece,2034-06-19,672,Medium,No,2659
Church of Panagia Paraportiani,Greece,2034-04-24,1920,Medium,No,535
Church of St. George,Ethiopia,2035-05-12,1081,Medium,No,717
Lalibela Rock-Hewn Churches,Ethiopia,2044-12-24,1596,Medium,No,2204
Debre Berhan Selassie Church,Ethiopia,2022-01-13,3191,Low,No,106
Holy Trinity Cathedral,Ethiopia,2031-03-15,1029,High,No,3009
St. Mary of Zion,Ethiopia,2037-04-26,961,High,No,350
Basilica of Our Lady of Peace,Ivory Coast,2027-10-01,2097,Low,No,2449
Great Mosque of Djenné,Mali,2028-10-26,1429,High,No,1689
Mosque of Touba,Senegal,2018-02-19,1740,Medium,No,3024
Great Mosque of Kairouan,Tunisia,2032-11-20,1061,High,Yes,1885
Abu Simbel Temple,Egypt,2045-05-01,1487,Medium,Yes,1111
Mosque of Muhammad Ali,Egypt,2020-06-06,4989,Medium,Yes,891
St. Catherine’s Monastery,Egypt,2025-03-01,3092,High,Yes,2443
Al-Azhar Mosque,Egypt,2019-06-01,1551,Medium,Yes,2778
Jokhang Monastery,Tibet (China),2026-09-04,2002,Low,No,669
Potala Palace,Tibet (China),2026-01-28,2704,High,No,2679
Ramoche Monastery,Tibet (China),2021-11-25,4371,High,No,1827
Drepung Monastery,Tibet (China),2018-05-20,3817,Medium,No,2712
Tashilhunpo Monastery,Tibet (China),2023-04-09,1710,Low,No,1258
Shaolin Temple,China,2024-07-06,1059,Low,No,2596
Temple of Heaven,China,2026-10-03,3207,High,No,3266
White Horse Temple,China,2032-01-19,4557,High,No,2527
Lingyin Temple,China,2018-04-23,1607,High,No,1769
Todaiji Temple,Japan,2030-06-26,4906,High,No,448
Fushimi Inari Taisha,Japan,2030-08-01,2249,Medium,No,3186
Kiyomizu-dera,Japan,2040-08-13,501,Low,No,370
Itsukushima Shrine,Japan,2026-11-25,1330,Low,No,3133
Shwedagon Pagoda,Myanmar,2030-11-04,3395,High,No,2005
Mahamuni Buddha Temple,Myanmar,2045-06-17,4542,Low,No,1816
Bagan Temples,Myanmar,2039-09-09,1893,High,No,3230
Borobudur,Indonesia,2030-06-13,3791,High,Yes,2791
Prambanan,Indonesia,2037-01-15,4288,Low,Yes,2847
Tanah Lot,Indonesia,2026-12-22,3439,Low,Yes,2492
Uluwatu Temple,Indonesia,2035-07-19,4404,High,Yes,3569
Paro Taktsang (Tiger’s Nest),Bhutan,2036-06-02,4877,Low,No,387
Punakha Dzong,Bhutan,2029-02-20,4017,Low,No,79
Tashichho Dzong,Bhutan,2030-01-26,856,Medium,No,873
Gangteng Monastery,Bhutan,2035-03-10,2725,Low,No,2964
St. Joseph’s Cathedral,Philippines,2041-09-24,2195,Low,No,3756
Manila Cathedral,Philippines,2038-08-16,3168,Low,No,42
Quiapo Church,Philippines,2026-10-28,2047,Low,No,939
San Agustin Church,Philippines,2040-09-08,1019,Medium,No,33
Batu Caves Temple,Malaysia,2019-03-28,3775,Medium,No,1230
Kek Lok Si Temple,Malaysia,2028-03-20,2954,Medium,No,2999
Thean Hou Temple,Malaysia,2042-09-26,819,Medium,No,3582
Sri Mahamariamman Temple,Malaysia,2031-08-27,3104,High,No,3609
Sultan Omar Ali Saifuddin Mosque,Brunei,2028-01-12,1796,Low,No,263
Jame’ Asr Hassanil Bolkiah Mosque,Brunei,2025-07-26,4121,Low,No,1107
St. Michael’s Church,Germany,2019-10-21,1496,Low,Yes,1179
Cologne Cathedral,Germany,2039-06-08,4352,Medium,Yes,2152
Speyer Cathedral,Germany,2039-06-06,4602,Low,Yes,114
Regensburg Cathedral,Germany,2030-08-26,4071,Low,Yes,2584
Notre-Dame de Reims,France,2020-09-26,3611,High,Yes,1241
Amiens Cathedral,France,2019-01-25,1429,Low,Yes,3395
Chartres Cathedral,France,2027-05-01,1845,High,Yes,1653
Mont Saint-Michel Abbey,France,2022-01-16,1628,Low,No,3619
Basilica of Saint Anthony,Italy,2024-02-19,4942,Medium,No,944
San Miniato al Monte,Italy,2024-07-14,2712,Low,No,3733
Santa Maria in Trastevere,Italy,2043-03-31,2248,High,No,3913
Basilica of Saint John Lateran,Italy,2020-09-19,1478,Low,No,46
St. Stephen’s Cathedral,Austria,2031-09-07,1326,High,No,1835
Melk Abbey,Austria,2028-09-27,4526,High,No,488
Klagenfurt Cathedral,Austria,2026-02-20,4494,Medium,No,3400
Graz Cathedral,Austria,2027-04-10,2263,Low,No,3325
Esztergom Basilica,Hungary,2040-01-05,2209,Medium,No,3974
Matthias Church,Hungary,2042-06-01,684,High,No,2899
Pannonhalma Archabbey,Hungary,2031-01-22,4692,Medium,No,3736
Szeged Votive Church,Hungary,2021-07-17,3337,Low,No,203
St. Nicholas Church,Slovakia,2022-12-30,3699,Medium,No,2561
Bratislava Cathedral,Slovakia,2025-11-13,2728,High,No,2692
St. Martin’s Cathedral,Slovakia,2029-06-05,1794,High,Yes,764
Church of St. Elizabeth,Slovakia,2024-12-10,1700,Medium,Yes,3274
St. Olaf’s Church,Norway,2043-03-24,2280,Medium,Yes,3309
Nidaros Cathedral,Norway,2023-03-23,1236,Low,Yes,1774
Borgund Stave Church,Norway,2018-02-12,1304,Low,Yes,3686
Heddal Stave Church,Norway,2044-03-19,951,Low,Yes,1358
Hallgrímskirkja,Iceland,2019-01-04,3865,High,Yes,2746
Akureyri Church,Iceland,2021-02-25,4498,High,No,1237
Skálholt Cathedral,Iceland,2042-01-04,2782,Medium,No,3484
Reykjavik Cathedral,Iceland,2035-10-08,1785,High,No,2784
St. Giles Cathedral,Scotland,2034-07-05,2908,Medium,No,1091
Rosslyn Chapel,Scotland,2036-03-08,4379,High,No,1273
Dunblane Cathedral,Scotland,2039-01-06,3227,High,No,69
St. Magnus Cathedral,Scotland,2029-05-23,1748,High,No,261
Christ Church Cathedral,Ireland,2029-09-27,1726,High,No,3196
St. Patrick’s Cathedral,Ireland,2039-09-17,2059,High,No,2827
St. Colman’s Cathedral,Ireland,2036-10-02,1670,Medium,No,285
St. Canice’s Cathedral,Ireland,2018-06-24,1579,Medium,No,770
Alexander Nevsky Cathedral,Bulgaria,2023-03-19,2465,Low,No,2583
Rila Monastery,Bulgaria,2021-01-04,2506,Medium,No,1992
Bachkovo Monastery,Bulgaria,2041-12-15,4752,Low,Yes,2480
Church of St. Sophia,Bulgaria,2027-05-02,1956,High,Yes,125
Meteora Monasteries,Greece,2022-03-19,1090,High,Yes,1979
Mount Athos Monasteries,Greece,2024-04-11,2175,Low,Yes,1426
Monastery of Hosios Loukas,Greece,2043-09-08,4886,Medium,Yes,1855
Church of Panagia Paraportiani,Greece,2021-09-25,718,Medium,No,904
Church of St. George,Ethiopia,2040-08-04,4795,Medium,No,3942
Lalibela Rock-Hewn Churches,Ethiopia,2036-07-07,3509,High,No,1318
Debre Berhan Selassie Church,Ethiopia,2032-05-27,3316,High,No,3481
Holy Trinity Cathedral,Ethiopia,2037-01-14,784,Medium,No,997
St. Mary of Zion,Ethiopia,2037-09-16,1959,Low,No,1843
Basilica of Our Lady of Peace,Ivory Coast,2019-11-12,1597,Low,No,758
Great Mosque of Djenné,Mali,2043-09-23,519,High,No,3441
Mosque of Touba,Senegal,2041-05-05,2504,Low,No,3617
Great Mosque of Kairouan,Tunisia,2028-01-13,3865,Medium,No,943
Abu Simbel Temple,Egypt,2022-07-20,1325,Medium,No,3955
Mosque of Muhammad Ali,Egypt,2019-05-24,4050,Low,No,1911
St. Catherine’s Monastery,Egypt,2018-06-16,2678,Low,No,1986
Al-Azhar Mosque,Egypt,2033-01-19,4745,Low,No,3987
Jokhang Monastery,Tibet (China),2040-12-06,1896,Low,No,2885
Potala Palace,Tibet (China),2020-10-03,1385,Medium,No,312
Ramoche Monastery,Tibet (China),2042-07-26,3293,Low,Yes,3651
Drepung Monastery,Tibet (China),2023-03-30,1400,High,Yes,3992
Tashilhunpo Monastery,Tibet (China),2027-07-27,3015,High,Yes,1900
Shaolin Temple,China,2044-08-09,3716,Low,Yes,3832
Temple of Heaven,China,2044-12-04,4347,Low,Yes,740
White Horse Temple,China,2036-01-03,625,High,Yes,3769
Lingyin Temple,China,2031-08-31,4042,Low,Yes,1126
Todaiji Temple,Japan,2024-12-11,3814,Low,No,3958
Fushimi Inari Taisha,Japan,2021-01-09,4208,Medium,No,1936
Kiyomizu-dera,Japan,2028-08-11,2459,High,No,2172
Itsukushima Shrine,Japan,2043-06-17,1340,High,No,3091
Shwedagon Pagoda,Myanmar,2022-10-19,3567,High,No,146
Mahamuni Buddha Temple,Myanmar,2032-07-16,2195,Medium,No,2758
Bagan Temples,Myanmar,2034-04-19,3854,High,Yes,52
Borobudur,Indonesia,2042-11-26,2083,High,Yes,3550
Prambanan,Indonesia,2025-12-26,4248,High,No,3727
Tanah Lot,Indonesia,2040-06-18,3172,High,No,352
Uluwatu Temple,Indonesia,2033-10-03,1985,Low,No,932
Paro Taktsang (Tiger’s Nest),Bhutan,2018-06-02,566,High,Yes,1356
Punakha Dzong,Bhutan,2039-06-21,2201,Low,Yes,1001
